ID,Title,Abstract,StoreId,AlternateTitle,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,isbn,language,languageOfSummary,originalTitle,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,notes,subjectClassifications,subjectTerms,subjects,FindACopy,Database
2391,The transformation of union-employer relations in the postwar era: An analysis of Delaware labor leaders,"Organized labor is under attack. As a result of the transfer of production to nonunionized work forces, vigorous management opposition, and the failure to organize white collar and service workers, the organized proportion of the American work force has dropped to less than one-fifth. As the quarter-century of postwar prosperity has given way to an era of increased international competition and a sluggish growth rate, employers have broken their old social contract with organized labor in which the acceptance of collective bargaining was traded for a stable work force. Because the union movement has been the only institution to continually represent the working class, its current weakness has caused concern. Aronowitz and other commentators have suggested that the labor movement could be revitalized by broadening its goals, pursuing class-based politics, and joining with other social movements to forge a new progressive coalition. To assess the possibility of revitalization on the local level, I examined the recent history of the Delaware labor movement through newspaper files and interviews and surveyed the local leaders. I looked for recent events which would indicate new activism and progress and focused on the ideological orientations of the local leaders that might facilitate or hinder the pursuit of class-based politics and the formation of progressive coalitions. I found that while Delaware has experienced most of the same problems as the labor movement nationally, local unions are pursuing new efforts to organize, the DuPont workers, once part of a system of paternalistic labor relations, have formed a new international and are becoming more active in their own interests, and new union-sponsored legislation to protect workers has been passed. The survey shows that the majority of leaders have a broad view of union goals, believe that unions should play a role in politics, and are willing to join in coalition with other local groups. Most identify themselves as moderates and the responses to various opinion questions do not represent a consistent ideology. Support for egalitarian change in the workplace and in society is strongly associated with both youth and higher education.",303671518,,Dissertations & Theses," Miller, Marsha L.
Miller
L.
Marsha
Miller, Marsha L.", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 746615451 , 28502971 , 66569 , 9019722 , 9019722", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303671518?accountid=14496, 0629 Labor relations, 0629 Labor relations, 0629 Labor relations,, 0629 Labor relations, Labor relations, Social sciences,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+transformation+of+union-employer+relations+in+the+postwar+era%3A+An+analysis+of+Delaware+labor+leaders&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Miller%2C+Marsha+L.&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
2392,"Challenge from the left: The socialist press and the progressive reform movement, 1900-1917","Through the medium of the socialist press, this dissertation examines the relationship between socialism and the progressive reform movement during the first two decades of this century. It has become popular in recent years to observe that socialism influenced progressivism, and this study examines specific issues to gauge the degree of that influence. By analyzing particular areas of reform during the Progressive Era, the dissertation demonstrates the role socialism played in generating, accelerating, and accomplishing progressive change. The socialist press provides a valuable resource to study socialism's effect on progressivism, since it represents so well the thoughts, ideas, and practical goals of Debsian socialism. While many socialist publications were plumbed for this purpose, five publications comprised the heart of the research: the Appeal to Reason, the National Rip-Saw, Wilshire's Magazine, The International Socialist Review, and the Social-Democratic Herald. These publications represent a broad spectrum of socialist opinion, taking into account ideology, regional differences, and format. Chapter II examines these publications, the personalities involved, and their relationship to the socialist movement. The heart of the dissertation studies specific issues in the general categories of politics, economics, and social questions. Under politics, progressivism itself is discussed, also trusts and government reform. The economic aspects include public ownership and the labor movement, while the ""Woman Question,"" education and child welfare are examined under social issues, including the disappointing failure to address reforms for Black Americans by either socialists or progressives. Finally, the dissertation examines the familiar question ""why is there no socialism in America?"" and considers the legacy left to the nation by the Debsian socialist movement. The results of this study demonstrate that the socialist movement did have an impact on the surge of progressive reform in the pre-World War I years, progressive reformers did feel pressured from the left and, consequently, moved more aggressively to correct national problems. While the Socialist Party faded from national importance after the war, the study concludes that the party's agenda in the area of immediate reforms has been enacted into law and forms a substantive part of America's social, economic, and political reality.",303675734,,Dissertations & Theses," Miller, Janice Jacqueline
Miller
Jacqueline
Janice
Miller, Janice Jacqueline", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 746883311 , 29489411 , 66569 , 9025784 , 9025784", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303675734?accountid=14496," 0337 American history , 0391 Journalism , 0615 Political science"," 0337 American history , 0391 Journalism , 0615 Political science"," 0337 American history , 0391 Journalism , 0615 Political science",," 0337 American history , 0391 Journalism , 0615 Political science"," American history , Journalism , Political science"," Communication and the arts , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Challenge+from+the+left%3A+The+socialist+press+and+the+progressive+reform+movement%2C+1900-1917&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Miller%2C+Janice+Jacqueline&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
2393,"The unexpected resurgence: Ethnic assimilation and competition in Taiwan, 1945-1988","Taiwan recently witnessed a sudden increase of opposition political activities among the Taiwanese. Given that the social, economic, political and cultural developments Taiwan experienced during the past four decades were expected to facilitate assimilation between the Mainlanders and the Taiwanese, the Taiwanese insurgence at this time was somewhat unexpected. To account for this development, this dissertation examines: (1) the causes and pattern of ethnic assimilation between the two groups; and (2) the connection of ethnic assimilation and the recent insurgence. The central thesis of this dissertation is that development of the opposition movement after 1986 was a result of a successful ethnic mobilization among the Taiwanese who rose to request for renegotiating the ethnic distribution of political power. The ethnic mobilization was facilitated by the change in the external environment of the movement, which included: (1) the increase of regime permissiveness, (2) the emerging opportunities of political competition, and (3) the emerging regional persistence of ethnic differences. Ironically, all three elements were caused by the pattern of ethnic assimilation. The main body consists of six chapters. Chapter 1 raises the question of the unexpected resurgence among the Taiwanese and proposes a framework of ethnic mobilization to its explanation. Chapter 2 provides a historical overview of the formation of the two ethnic groups, and patterns of intergroup relation during the past four decades. Chapter 3 examines two dimensions of cultural assimilation among the Taiwanese: language shift and identification with China. Using a survey data set collected by the Global Views Monthly in 1987, chapter 3 shows that the two major elements of ethnic differences were well preserved among the less-educated Taiwanese who reside outside the northern region of Taiwan. Chapter 4 investigates the alleged ethnic discrimination in the labor market by analyzing a data set coded from the Managers of the Creditable Enterprises in the R.O.C.. A pattern of ethnic assimilation similar to chapter 3 is found. Chapter 5 examines the various forms of participation in the opposition movement to test the ethnic mobilization argument. The development of the opposition after 1986 was found to begin in more assimilated areas and rapidly spread to the less assimilated areas through the tactic of ethnic mobilization. Chapter 6 draws a brief conclusion of what has been found.",303676785,,Dissertations & Theses," Wang, Fu-chang
Wang
Fu-chang
Wang, Fu-chang", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 744790251 , 28075221 , 66569 , 9005731 , 9005731", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303676785?accountid=14496," 0631 Minority & ethnic groups , 0631 Sociology , 0700 Social structure"," 0631 Minority & ethnic groups , 0631 Sociology , 0700 Social structure"," 0631 Minority & ethnic groups , 0631 Sociology , 0700 Social structure",," 0631 Minority & ethnic groups , 0631 Sociology , 0700 Social structure"," Minority & ethnic groups , Sociology , Social structure"," Social sciences , assimilation",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+unexpected+resurgence%3A+Ethnic+assimilation+and+competition+in+Taiwan%2C+1945-1988&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Wang%2C+Fu-chang&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
2394,Privatization in Algeria: Implications for development theory,"As governments around the world today continue to converge in their embrace of economic liberalization and restructuration, a tremendous challenge is posed for scholars of the development process. The movement towards privatization taxes theories of development which are anchored in the traditional ""great debate"" between capitalism and socialism. Analytical tools which remain fundamentally state-centric in their unit of analysis and economistic in their definition of development are ill-suited to adequately account for either the historical origins of entrepreneurial forces or the transnational dimension of the privatization movement. This thesis proposes that a power-based analytical framework centered on the study of social forces is more capable of shedding light on the political nature of privatization. Algeria provides a particularly valuable context for the study of the politics of privatization. Renowned for its revolutionary origins and its experiment in collective self-management, Algeria has surprised the world with its recent turn to ""market forces:"" restructuration in the public sector, decentralization in both public and private economic enterprises, and liberalization of private economic activity have become the order of the day. However, these reforms should not be interpreted as a repudiation of Algeria's commitment to socialism. This work shows that the new strategy for development is rooted in both the historical origins of private capital and the common ground of public and private economic activity in Algeria. The current overtures to private economic activity suggest neither a reversal of the past nor a retrenchment of the state, but remarkable continuity in the ongoing process of social reconstruction and regime building.",303680113,,Dissertations & Theses," Rummel, Lynette
Rummel
Lynette
Rummel, Lynette", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 744306041 , 28072051 , 66569 , 9000822 , 9000822", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303680113?accountid=14496, 0615 Political science, 0615 Political science, 0615 Political science,, 0615 Political science, Political science, Social sciences,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Privatization+in+Algeria%3A+Implications+for+development+theory&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Rummel%2C+Lynette&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
2395,Modern community housing: New responses to the shelter problem in the 1920s and 1930s,"The modern community housing movement of the 1920s and 1930s aimed at changing urban residential patterns in the United States in order to lower housing costs and increase neighborhood life. In part, this reform effort can be understood as the American expression of the international mass housing movement--characterized by a commitment to raising general living standards and concern for strengthening social bonds within large urban centers--which emerged in many of the industrial nations after World War I. In the United States the movement built on a number of native traditions of housing reform, and on previous attempts to create a greater sense of community. The movement gained adherents in this country partly because, even in the midst of the prosperity of the 1920s, shelter conditions for large numbers of Americans were unsatisfactory and not improving much. In the early 1930s social and political conditions allowed for more radical initiatives in housing than before or since, and ideas associated with the modern community housing program influenced the design and administration of some publicly financed residential developments. The dissertation investigates how these reform ideas worked out in practice, both socially and architecturally, based on documentary evidence and oral history interviews with early residents in two prototypical housing complexes constructed in this period. The first case study concerns the Carl Mackley Houses, a development sponsored by the Hosiery Workers Union in Philadelphia and constructed with funds loaned by the Public Works Administration (PWA). The second deals with the Harlem River Houses, built by the PWA in conjunction with the newly-formed New York City Housing Authority. The union housing had its roots in the ""new unionism"" of the 1920s; the Harlem development was a product of social movements initiated by urban African-Americans. The study contains an analysis of the political forces which later pushed federal policies in another direction. It concludes with a discussion of the ways in which elements of the modern community housing program have remained influential, particularly in relation to efforts in the 1980s to improve the quality and expand the supply of affordable housing.",303686318,,Dissertations & Theses," Radford, Gail Eileen
Radford
Eileen
Gail
Radford, Gail Eileen", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 746613711 , 28053301 , 66569 , 9005924 , 9005924", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303686318?accountid=14496," 0337 American history , 0999 Urban planning , 0999 Area planning & development , 0729 Architecture , 0630 Welfare"," 0337 American history , 0999 Urban planning , 0999 Area planning & development , 0729 Architecture , 0630 Welfare"," 0337 American history , 0999 Urban planning , 0999 Area planning & development , 0729 Architecture , 0630 Welfare",," 0337 American history , 0999 Urban planning , 0999 Area planning & development , 0729 Architecture , 0630 Welfare"," American history , Urban planning , Area planning & development , Architecture , Welfare"," Communication and the arts , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Modern+community+housing%3A+New+responses+to+the+shelter+problem+in+the+1920s+and+1930s&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Radford%2C+Gail+Eileen&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
2396,Uncertain opening: The Catholic Church and China in the contemporary international order,"This study examines the contemporary relationship between the Roman Catholic Church and the government of the People's Republic of China (PRC) within the perspective of international relations theory. It is the thesis of this study that China's current policy of religious toleration is a necessary response to the strategic need to participate in the contemporary international market system. China's participation in the international system forms the basis for renewed and expanded contact between the Church and China after thirty years of tight state control under which the local Chinese Church was subordinated in classic Communist fashion through the formation of the Party-controlled Chinese Catholic Patriotic Association (CCPA). Both China and the Church have adopted significantly more open attitudes and approaches to the contemporary secular world: the Church since the Second Vatican Council and China since the death of Mao Tsetung. Elements in the expanded contact between the Church and China within this expanded context include the cultural obstacles between the still Western oriented Church and the traditional Chinese ecumene, ideological differences between Communism and Christianity, and the role of the Church in Chinese strategy. Chinese acceptance of the U.S. strategic role in the late 1970s coincided with a rising movement within the Church to criticize that U.S. role from the perspective of social justice and Liberation Theology. Juxtaposition of the changing Chinese and Church positions with regard to the international system and the U.S. role within the system puts into sharp focus the question of the Church's role in the world and the issue of a Church theory of regimes. This study argues that Church values, in particular with regard to individual and institutional freedoms, in essence are consistent with values and principles of contemporary liberalism, and that the Church can play a positive role in China's integration into the international order and development of its modern political economic system.",303687785,,Dissertations & Theses," Lovejoy, Charles Douglas, Jr.
Lovejoy
Douglas
Charles
Jr.
Lovejoy, Charles Douglas, Jr.", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 746596231 , 28505511 , 66569 , 8912980 , 8912980", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303687785?accountid=14496," 0616 International law , 0616 International relations"," 0616 International law , 0616 International relations"," 0616 International law , 0616 International relations",," 0616 International law , 0616 International relations"," International law , International relations", Social sciences,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Uncertain+opening%3A+The+Catholic+Church+and+China+in+the+contemporary+international+order&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Lovejoy%2C+Charles+Douglas%2C+Jr.&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
2397,The relationship among the four professional nursing organizations and woman suffrage: 1893-1920,"The purpose of this investigation was to explore the tension between the politically conservative image of nursing that has been presented in the current professional nursing literature and the four professional nursing organizations' actual involvement in the suffrage movement. An historical method was used to identify the four professional nursing organizations' opinions, actions, and intentions relative to their positions on women suffrage. The timeframe for this study was 1893 through 1920. The primary and secondary sources that were used were professional journals; published and unpublished proceedings of each of the four professional nursing organizations; nursing and suffrage archival collections; and historiographies of nursing, women, and the suffrage movement. The four organizations were: The National League of Nursing Education (formerly the Society of Superintendents of Training Schools for Nurses), The American Nurses' Association (The Nurses' Associated Alumnae), The National Organization of Colored Graduate Nurses and the National Association of Public Health Nursing. Findings indicated that among the four national nursing organizations, organizational endorsement of women suffrage was voted on seven different times. Six votes represented the membership of the National League of Nursing Education and the American Nurses' Association. The additional seventh vote was a report of the international organization's vote. Only two of those seven votes resulted in opposition of organizational support of suffrage. Nursing organizations, instead of being conservative were progressive. They sought to change the social system by advocating women's suffrage, education, and practice. To explain why nursing's ties with women history has been incompletely portrayed and often omitted from some historiographies of women, may lie in an underlying prejudice towards nursing and its role by society. The term ""nursism"" was conceived for the purpose of explaining the prejudice and omission witnessed. How we evaluate the preconceived notions of nursing will impact the solutions to issues facing nursing today.",303688872,,Dissertations & Theses," Lewenson, Sandra Beth
Lewenson
Beth
Sandra
Lewenson, Sandra Beth", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 744571161 , 28080721 , 66569 , 9002561 , 9002561", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303688872?accountid=14496," 0569 Nursing , 0337 American history"," 0569 Nursing , 0337 American history"," 0569 Nursing , 0337 American history",," 0569 Nursing , 0337 American history"," Nursing , American history"," Health and environmental sciences , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+relationship+among+the+four+professional+nursing+organizations+and+woman+suffrage%3A+1893-1920&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Lewenson%2C+Sandra+Beth&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
2398,Black feminism: A comparative study of women in Ghana and the U.S.,"Discourses on racism, ethnocentrism, sexism and classism abound, but much of the work of theorists and practitioners who seek change in these areas have failed to adequately and appropriately address the concerns of Black women. This dissertation explores the evolving contemporary Black Feminist perspective which is developing, in part, as a response to these deficiencies. Black Feminism recognizes and acknowledges that Black women incorporate race or ethnicity, class and gender into a multifaceted integrated identity. Developing out of a recognition of this complex identity, and as a critique of the deficiencies in the existing social change activities, Black Feminism seeks to explore the multiplicative impact of gender, race/ethnic and class oppression which have placed Black women on the margins of society. Although much of the Black Feminist literature is authored by Afro-American women, African women are also contributing to this newly emergent phenomenon. This dissertation describes common problems shared by women in two very divergent societies--Ghana and the United States--and argues that a Black Feminist perspective informs the efforts of many Black women to change or transform these societies. Black Feminism is viewed as a complex mechanism adopted by Black women to survive in hostile environments. Its flexibility and complexity is a result of its propensity to respond to problems arising from multiple oppression which have been defined as critical in specific situations. Its uniqueness is derived, in part, from its emphasis on an expansive conceptualization of the mothering role. Thus it incorporates not only the individuals right to pursuits of self development and personal fulfillment but also parallel communal concerns for the welfare of children and men. This comprehensive concern elevates Black Feminism into the realm of international Critical Social Movements that seek to imagine and conceptualize a more humane world in the quest to establish just societies.",303718892,,Dissertations & Theses," James, Stanlie Myrise
James
Myrise
Stanlie
James, Stanlie Myrise", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 745875821 , 28276221 , 66569 , 9116601 , 9116601", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303718892?accountid=14496," 0453 Womens studies , 0331 African history , 0328 Black history"," 0453 Womens studies , 0331 African history , 0328 Black history"," 0453 Womens studies , 0331 African history , 0328 Black history",," 0453 Womens studies , 0331 African history , 0328 Black history"," Womens studies , African history , Black history"," Social sciences , United States , feminism",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Black+feminism%3A+A+comparative+study+of+women+in+Ghana+and+the+U.S.&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=James%2C+Stanlie+Myrise&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
2399,Ethnography of Rumba: Dance and social change in contemporary Cuba,"Rumba is a dance that reveals changing values and the efficacy of an aesthetic system as it interrelates with other systems in Cuban society. Rumba is set within the social, economic, political, religious and aesthetic systems of contemporary Cuba. Since the Revolution, Rumba has not only assisted efforts to celebrate national identity and cultural heritage but it has also made clear official commitment to new values. It has changed from a recreational dance of lower class Cubans in the nineteenth century to a symbolic dance that promotes egalitarian efforts of post-revolutionary Cuba in the twentieth century. Social change in Cuba has initiated change in dance. As part of Cuba's mammoth undertaking towards education and cultural awareness, Rumba has emerged as an important form of expressive behavior that assists national goals, reinforces Caribbean solidarity and promotes international prestige. The professionalization of performers, the organization of performance spaces and the proliferation of performance opportunities have prompted new paradigms and altered previous understandings of Rumba. In terms of space, Rumba has moved from the barrio and streets to the theater and stage. In terms of time, Rumba has changed from limitless to limited time. In terms of energy, however, Rumba has continued to ignite and sustain feelings of communitas. Unlike some other arts which lose their interest and vitality with changing values, Rumba's potency has been nurtured and its energy has been channeled towards the restructuring of Cuban society. Rumba's power and the power of dance are articulated in the effect of Rumba on both audiences and performers. As an example of dance anthropology within the Caribbean, this study illuminates values and attitudes which are embodied in dance. Meaning in dance is revealed at the world-view, ritual and performance, symbolic, group, individual and movement levels and the multivocalic nature of dance is demonstrated. The cultural contexts of Rumba facilitate an understanding of the profound complexities surrounding change in contemporary Cuba.",303720976,,Dissertations & Theses," Daniel, Yvonne LaVerne Payne
Daniel
LaVerne Payne
Yvonne
Daniel, Yvonne LaVerne Payne", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 745015841 , 28050751 , 66569 , 9006294 , 9006294", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303720976?accountid=14496," 0326 Cultural anthropology , 0700 Social structure , 0357 Fine Arts"," 0326 Cultural anthropology , 0700 Social structure , 0357 Fine Arts"," 0326 Cultural anthropology , 0700 Social structure , 0357 Fine Arts",," 0326 Cultural anthropology , 0700 Social structure , 0357 Fine Arts"," Cultural anthropology , Social structure , Fine Arts"," Communication and the arts , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Ethnography+of+Rumba%3A+Dance+and+social+change+in+contemporary+Cuba&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Daniel%2C+Yvonne+LaVerne+Payne&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
2400,The Saudi drug control policy: Aspects of its historical development,"As a result of the spreading worldwide illicit drug movement and problems hindering national and international drug control systems, many societies, including Saudi Arabia, have become new targets of the illicit market. This study examined the development of Saudi Arabia's drug control policy in response to the recent spread of drug use. The spread of drug use in Saudi Arabia was related to the international and regional drug situation and recent changes in Saudi society. Because of international drug control problems, the worldwide illicit drug movement, and the swift economic development and social change in Saudi Arabia, the government's response to eradicate drug-related problems has developed. Future research is needed, especially an investigation of problems limiting the effectiveness of Saudi drug law enforcement.",303727908,,Dissertations & Theses," Mubaraki, Abdullah Ali
Mubaraki
Ali
Abdullah
Mubaraki, Abdullah Ali", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 747748301 , 26538071 , 66569 , 1337068 , 1337068", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303727908?accountid=14496," 0627 Criminology , 0700 Social structure"," 0627 Criminology , 0700 Social structure"," 0627 Criminology , 0700 Social structure",," 0627 Criminology , 0700 Social structure"," Criminology , Social structure"," Social sciences , Saudi Arabia",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+Saudi+drug+control+policy%3A+Aspects+of+its+historical+development&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Mubaraki%2C+Abdullah+Ali&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
