ID,Title,Abstract,StoreId,AlternateTitle,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,isbn,language,languageOfSummary,originalTitle,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,notes,subjectClassifications,subjectTerms,subjects,FindACopy,Database
1,The anti-globalization movements in the perspective of new social movement theory,"Anything in the world has its antithesis, globalization as well, When the force of globalization spread rapidly around the world, another force of anti-globalization like a ghost also spread all over the world since the 1990s. Anti-globalization looks like a shadow of globalization, they battle with each other. Since the Seattle storm which opens the curtain of anti-globalization movement at the end of 1999, anti-globalization movement has become an important political power in the international society, From Davos to France Nice, from New York to Quebec in Canada, from Bangkok to Porto Alegre in Brazil, everywhere in the world has left the footsteps of the anti-globalization movement activists. As a kind of protest politics, the scale and scenes of the anti-globalization movement are very easy to make people think of new social movements that appeared in the west since the end of 1960s. what relations are they? This thesis regarded the anti-globalization movement as a kind of new social movements in the context of globalization, and analysis the inner structures, action forms and impact factors of the anti-globalization movement in the perspective of new social movement theory Systematically. The author thought the anti-globalization movement is not only a kind of continuation and development of new social movements in the new international background, it can be called “new-new social movements”, but also it has challenged the further development of new social movement theory. The thesis has six parts, the main points of each part are as follows : Introduction, This part mainly explained the reasons why the author selected this topic and the significance of the selection of subjects, Comment the current state of research about this subject. At the same time, this part would present a framework of the thesis. At the end of the 20th century, the anti-globalization movement launched in the international society, which has attracted world attention and become a hotspot of academic research. The reasons that the author choose the anti-globalization movement in the perspective of the new social movement theory as the target of analysis are: First, as a “new politics” phenomenon after World War II in Western, new social movements and the anti-globalization movement are an important clues for understanding the social change in the west. Second, as the anti-system movement, new social movements and the anti-globalization movement have many similarities. Third, selecting the perspective of new social movement theory to study the anti-globalization movement, not only help us to understand grassroots people how to express their interest demands and maintenance their political rights and economic interests in the international context of global governance, but also help us to increase understanding and awareness of transnational social movements from another side. Four, the author choose this topic also come from the consideration for subjects. In the west, the research on new social movements is more comprehensive, which mainly concentrate in three dimensions: the study on new social movements protests, the theory research on how to explain new social movements and the research about new social movements research methods. However, Generally speaking, academe（especially political science field）to new social movements’ research is still extremely weak in china. For the anti-globalization movement, in academe, scholars have reached consensus on why the anti-globalization is appeared and what is anti-globalization and other issues. However, using the perspective of new social movement to analysis the inherent structure, movement forms, organizational forms of the anti-globalization movement is weak. Thus, It is an important theoretical and practical significance of selecting the perspective of the new social movement theory to analysis the anti-globalization movement. This article attempts to make a try. ChapterⅠ, new social movements and new social movement theory modes. New social movements is a floorboard mainly aim to mean a series of masses protest movements accompanied by the students movement since the late 1960s in the West, which present varied size and have the different interests of the demands. It is “new”, because it demonstrated some new features. In this part, on base of defining the content and characteristics of social movements and new social movements, the author analysis four kinds of new social movement modes, that is, the theory of modern contradiction, the theory of post-materialism, resource mobilization theory and political opportunity structure. And point out each theory has its shortcoming and deficiencies, Synthesizing four theory modes, the author conformity a comprehensive new social movement theory mode and its analytical elements, Its main contents are: The main people of the movement not only present the features of specific socio-economic structure and demographic characteristics, but also demonstrate the characteristics of strong political participation awareness and “post-materialism” values tendencies; The issues of movement have the characteristic of ""post-ideological era"" political topics and the color of “post-materialism”; The modes of movement have the characteristics of super-councils, the direct participation of non-conventional; The organizational forms of movement are decentralized, fragmentation, grassroots democracy and the characteristics of “political opportunity” impact on the patterns of movement. ChapterⅡ, the anti-globalization movement: development stage and main features. In this chapter, the author began from defining two concepts: globalization and anti-globalization, on basis of comparing with the similarities of the anti-globalization movement and the new social movements, the author redefined anti-globalization movement, that is, regard anti-globalization movement as a kind of new social movements. Then in reference to Western scholars about different divide methods of the development stages of the protest movement cycle, according to the internal and external factors that impacted on anti-globalization movement, the author divided anti-globalization movement that since the beginning of 1990s into five phases, and generalized the characteristics of each phase simply. Chapter III, anti-globalization movement in the perspective of new social movement theory. In this chapter, in order to explain why anti-globalization movement is appeared and how anti-globalization movement is developed in-depth, the author analysis the main bodies，issues, action forms, organization forms and political opportunity of the anti-globalization movement in the perspective of new social movement theory Systematically. Then, the author pointed out anti-globalization movement is a kind of continuation and development of new social movements in the new globalization background, it can be called“new-new social movements”. Chapter IV, the challenge of anti-globalization movement to new social movement theory. New social movement theory can provide basic explanation for the anti-globalization movement, however, its own limitations and the new features of anti-globalization movement have decided new social movement theory can not provide a full and comprehensive explanation for anti-globalization movement. In this chapter, the author first point out new social movement theory has four limitations: the limitations of the scope of application, the limitations of the era, and the limitations of the analysis methodology and model. Then enunciated the new features of the anti-globalization movement on the main people, the issues, movement forms, organizational forms, etc. Given these two aspects, the author think that the new social movement theory should shift theoretical perspective, expand theoretical vision, and perfect analysis models in the era of globalization. Conclusion, the author point out the future development of anti-globalization movement and some change factors. The research methods are adopted as follows: The first is the method of integrating condensation with individual case study. Which mainly represent in two sides: One side is the relations of four kinds of new social movement theories and the comprehensive new social movement theory. Any theory is not leave nothing to be desired, it has its own shortcomings regardless of what kind of theoretical modes, So as four new social movement theoretical modes in this thesis. However, when elaborating on new social movements, they are not mutually exclusive, but mutually complementary. Thus they can be used synthetically. Another side is the relations of new social movements and anti-globalization movement. Anti-globalization movement is new social movement, but it is not new social movement in traditional sense. This paper choose anti-globalization movement as the target of analysis not only can help knowledge and understand the development of new social movements in the context of globalization in-depth on one hand, on the other hand, it can contribute to further perfect new social movement theory. The second is the combination of quantitative analysis and qualitative analysis, but mainly give priority to qualitative analysis. To enhance the analysis intensity of new social movement theory on the anti-globalization movement, this article seeks to do quantitative analysis and qualitative analysis combined. However, because the information currently available is limited, somewhat weak in the area of quantitative analysis, Therefore, this paper give priority to qualitative analysis. The third is dynamic process analysis. Times is changing, so is the practice of new social movements. From the perspective of dynamic, the paper divided the development phase of the anti-globalization movement and regarded anti-globalization movement as the development of new social movements since the late of 1960s, In this paper, the author thought new social movement theory also should do corresponding adjustment and changes accompanied by the practical development of new social movements, Only in this way can new social movement theory itself maintain vigor and vitality. On the whole, the paper reflects the dynamic process analysis.",1026687189, 新社会运动理论视角下的反全球化运动,Dissertations & Theses," Liu, Ying
Liu
Ying
Liu, Ying
刘颖",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 2713272161 , 70560512 , 189128 , H286119 , H286119", Dissertation/Thesis, 2006,, Chinese, Chinese, 新社会运动理论视角下的反全球化运动,2006,PQDT - Global,2006,https://search.proquest.com/docview/1026687189?accountid=14496, 0601 International Relations, 0601 International Relations, 0601 International Relations,, 0601 International Relations, International Relations," (UMI)AAIH286119 , Social sciences , 反全球化运动 , 新社会运动 , 新社会运动理论",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+anti-globalization+movements+in+the+perspective+of+new+social+movement+theory&amp;issn=&amp;date=2006-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Liu%2C+Ying&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
2,On Socia Contradiction of the New Eya,"On the basis of a reflection of history, with a shift of research paradigm, and against the background of the economic globalization and informationalization, the present paper systematically studies such issues as the sources and development of social contradictions in our country under the circumstance of reform and socialist market economy, their characteristics, principle and method of treatment, while focusing, in particular, on some prominent questions of social contradictions of the present time. It is assumed to be of great significance, both practically and theoretically, for a deeper understanding of Mao Zedong's theory on social contradictions, and it is meant to promote the implementation of the opening-up and reform policy for the socialist construction and modernization. Apart from the introduction, the paper is composed of four chapters. A summary of each chapter runs as follows: Chapter One elaborates on the necessity and validity of a shift of theoretical paradigm with the point of view of historical development of the theory of socialist social contradictions. In the history of Marxism, theories on contradictions in the socialist countries have gone through a process of explication and deepening Marx, Engels, Lenin and Starlin have all explored the problem of socialist contradictions, and have accumulated some invaluable thoughts on contradictions in socialist countries. Guided by Marxism, Mao Zedong set up, systematically, the theory of socialist contradictions on the basis of rich experience in socialist revolution and construction in China, thus further enhancing Marxism. In On the Ten Major Relationships, On How to Deal with contradictions within the People, he elaborated on the socialist contradictions systematically forming a theoretical system about the contradictions in socialist societies and providing us with a clear direction in handing the contradictions in the socialist countries in a right way, and a theoretical guideline in consolidating, developing and perfecting the socialist system-But due to the historical limit, Mao Zedong's theory on contradictions in socialist societies was inevitably constrained by the time in which he lived. His description of the basic contradictions in socialist societies is too abstract, his judgement of the basic contradictions is wrong, and his criteria for the differentiation of the two kinds of contradictions are too vague, the scope too narrow and methods in dealing with them too simple. At present, the pattern of social structure has undergone tremendous changes. The transformation of the society and the pattern of communication between people, the development of science and technology require that we approach contradictions in socialist societies in a different way. First, we have to shift our emphasis from analyzing social classes to analyzing social spectra and group interest; secondly, we have to move away from the studies of social relationships to the studies of more specific interpersonal relationships; and thirdly, we must put our emphasis on the study of individuals of the society, including their psychological aspect, rather than just focus on the society as a whole. Chapter Two examines the formation and development of social contradictions of the new era in our country from the point of view of important changes in the world and inten1ational situations, the opening-up and reform, the establishment of the socialist market economy, varieties of social structures, social classes and social stratification, and development of modern science and technology. Contradictions in socialist societies result from many different sources. First of all great changes of the world situation have influenced the formation of social problems in China m the new ear; peace and development have become the theme of the time, contradiction and confrontations between China as a socialist country and other capitalist counties have been eased to relatively great extent. The major contradiction that we are faced with is one between the ever-increasing demand of the broad masses for material civilization and the inability of the backward productivity of supply. The emphasis of the Party and the State is to develop the social productivity in a big way, focusing on the construction of economy. Secondly, the world-wide socialist movement has suffered great setback, and the “peaceful transformation"" targeted on China by western countries has also affected the social contradictions in China. Because of the disaggregation of the former Soviet Union and the social upheaval in the Eastern European counties, the international communist movement has suffered great setback and damages, Western countries headed by the United States which have long been carrying out a policy of westernization, separation, weakening and peaceful transformation, have now turned their target on China. Thirdly, economic globalization has quickened its pace, which has also influenced the formation of social contradictions of our country. Economic globalization has promoted the nourishment and development of world economy, and has provided the economy of our country with a chance of development in history, which in turn bring about some negative effect. It may erode the economic sovereignty of the country. The contradiction and conflicts of the two systems have become more direct and acute. Our country is faced with the penetration of the western ideology in this process of globalization. Fourthly, further reform and the establishment of socialist market economic system have greatly influenced the emergence and development of social contradictions of the new time in our country. The economic reform that we are carrying out is not confined to sphere of economy; it has extended to the gelds of politics, culture, education, science and technology. It is m all-round reform in that it has brought about great changes in people's mentality, value system, notion of justice, way of life and norm of action, and a series of new problems. To reform on the economic system will necessarily lead to dramatic changes in the structure of ownership, ways of distribution, which give rise to the tremendous readjustment of social structure and relationships, thus resulting in the multi-interest pattern of different social spectra and interest groups. The great readjustment of social structure and social relationship caused by an economic system being transformed from a planned one to a market one will surely bring about various conf1icts in interest, new social problems and contradictions. The diversification and combination of classes and social spectra are the outcome of the reform and establishment of the socialist market economic system. It is a reflection of progress of the Chinese society. Though people at different social spectrum have the same general interest, when coming to specific questions, they vary a great deal. Different spectra have different interests, and they will surely run into conflicts with each other, thus resulting in some contradictions among different social spectra. After World War II, science and technology has advanced by leaps and bounds. But the revolution in science and technology this time is characterized by a combination of science with technology. While science is being technologized, technology also shows a tendency of being more scientific. Science and technology of the present time are penetrating into every aspect of the productive system, and every element of production shows some features of science and technology-Science and technology have become a major force that pushes production forward. They are the main drive of social progress. The new revolution in science and technology has changed man's mode of production, way of living and thinking, and pattern of communication, and has tremendously improved the quality of man's life. But at the same time, it has brought about many new social problems and conflicts: unemployment is on the increase; old moral standard clashes with the new one; and development of high-tech, especially that of the internet technology, is further complicating the existing contradictions in the field of culture. All of this adds to the liability of the intensification of contradictions between man and nature, and creates potential threats to the strategy of sustained development of our country. Chapter Three discusses the structure of the social contradiction system of our country in the new era, its characteristics and ways of treatment. Social contradictions in our country in the new time can be classified, in accordance with their structural characteristics, into basic contradictions, main contradictions, and specific contradictions of various gelds. The major contradiction at the present stage in China, i.e. the ever-increasing demands of the people for material civi1ization, are determined by the nature, characteristics and mode of movement of the country's basic contradictions at its initial stage of socialism, together with the country's backward social production at the present stage. The basic contradictions of a socialist society are reflected in such specific fields as economy, politics, ideology and culture, constituting the concrete contradictions in each field respectively. The contradiction of production and consumption is the main contradiction in the field of economy. In the field of politics in the socia1ist society, the contradiction between democracy and centralization is the main contradiction, which affects every aspect of the socialist political life. The contradiction between Marxism and non-Marxism is the main contradiction that constrains and affects other contradictions in the field of culture or ideology. The contradiction system in the socialist society consists of basic contradictions, major contradictions and specific contradictions in every other field. Of the three ranks of contradictions, basic contradictions lie at the basic level, functioning as the dominating factor which determines the nature of major contradictions and the form of specific contradictions. Major contradictions lie at the intermediate level, functioning as the leading factor which is dominated by the basic contradictions, and reversely affects the basic contradictions; at the same time, they provide solutions for the specific contradictions; specific contradictions lie at the subordinating position, which are dominated and goven1ed by the basic contradictions and major contradictions, but they may also affect the movement and solution of the basic and major contradictions. Basic contradictions, major contradictions and specific contradictions are related to each other, affect and are affected by each other, confine and are confined by each other, and interact with each other, thus constituting a system of contradictions in the socialist society. Generally speaking, the social contradictions of the new time, i.e. the basic contradictions and major contradictions of our country at the present stage, is non-confrontational in nature. This means that, as direct representation of the basic contradictions and major contradictions, many a specific contradiction in various fields is non-confrontational in nature. Nevertheless, some of them are confrontationa1. Main characteristics of the social contradictions of the new time: 1) contradictions of material interest are prominent, 2) periodical social contradictions are diverse and complicated. Parties involved in these social contradictions are complicated, and the components constituting these contradictions are complicated, too. Contradictions in economy, politics, ideology and culture are interwoven into one another. 3) the contradictions are apt to be intensified, resulting in abrupt group conflicts, which are actually on the increase but are internal contradictions among the people. Yet, if not handled promptly and effectively, they may be made use of by some hostile individuals, who may take the opportunity to stir up further hostility and bring about damage on the country. Contradictions of this type will then turn into confrontations between friends and enemies, which can, doubtlessly, affects social stability and hinder the implementation of the open policy and reform. In dealing with the contradictions of the new era, the basic principle we have to is the “three represents”. The idea of “three represents” put forward by Comrade Jiang Zemin and the requirement for its implementation in the new era is based on the generalization and conclusion from the experience of the entire history of the Party, especially the fresh experience since the 3rd Session of the 11th Party congress. It is also based on the analysis of the great changes of the objective social context in which the Party lies and the new elements of which is composed. The “three represents” is both the requirement for our Party to maintain its progressive nature and the basic principle which it has to adhere to in dealing with the contradictions in the construction of economy, culture and the contradictions in various other fields. In order to maintain social stability and to continue to develop, there must be a stable environment, without which there will be no development. In dealing with social contradictions, the principle of stability of the first importance. We have to do our best to eliminate unstable factors, smooth away the affective mood of the masses, resolve group contradictions, avoid social conflicts, keep social order and harmony, and maintain social stability. We must also stick to the principle of being practical and realistic. To handle the social contradictions I a correct way, we have to be practical and realistic, and have a correct understanding of the nature of these contradictions; never should we confuse the two types of contradictions. Otherwise, we will not be able to find the right way to overcome these contradictions, and the Cause of the Party and the people will suffer great loss. What is more, we also have to stick to the principle of equality. In the process of dealing with social contradictions, the principle of the socialist equality requires that we treat various parties involved in the contradiction equally when we come to the coordination of disputed interest among the people. In drawing up and implementing these policies, we must stick to the principle of equality and outlaw social elites, so that everyone stands equal before the law. The best way to deal with social contradictions in the new era is, first of all, to promote production in a big way. Only by doing so can we accumulate enough material strength to guarantee the solution of various social contradictions, and the right solution of social contradictions Can, in turn, promote the development of social productivity. Secondly, we have to deepen our reform, which is to solve both the basic contradictions and specific contradictions in the socialist society. At the same time, we have to intensify social re-adjustment. We have to establish a complete set of rules and regulations on the basis of the realities of the market economy and according to the needs in resolving various social problems and social contradictions. At the moment, we have to consolidate our leading construction, overcome bureaucracy and pharisaism, and eradicate corruption. This is the only way to resolve the cadre-mass contradictions. The strategy of “running the country with morality”, has to be implemented at deep levels and, to maintain the stability of the country, morality and law have to be given equal amount of priority. We should never overlook the importance of morality. Instead, we must strengthen it by setting up a healthy moral standard that is fit for the socialist market economy in order to satisfy the moral needs of the people in the period of social transformation from the old system to the new one. This is also the need of the present reform in the development of the socialist market economy and in the handling of social contradictions. Therefore, in the new era, we have to pay particular attention to the construction of our moral standards. Chapter Four discusses the problems of corruption, China's entry into WT0, development of Internet, and their effect on the social contradictions in the new era. Some relative measures are suggested so as to further enhance the theory of the socialist social contradictions of the new era in China. Generally speaking, the entry into WTO provides us with favorable conditions to solve social contradictions of the new era. First, it can further promote the economy of our country, thus laying a solid material foundation for the solution of the present social contradictions. It is also beneficial for the reforming of the government institutions so as to increase the transparency of government administration and raise the efficiency of management. China's legal system will be more complete thereafter, and the force of re-adjustment will be further strengthened. But at the same time, the entry into WTO has further complicated the social contradictions of the new are, making solution of these contradictions more difficult. This can be seen in the following aspects: 1) Western countries are now making greater efforts to push forward their westernization strategy; 2) The security of the country’s economy, which includes the security of some key enterprise, strategic resources, finance and so on, is faced with new challenge. After the entry into WT0,unemployment will increase, income gap will be enlarged, and social contradictions and factors of unstability will grow. Western countries will carry out their cultural penetration to a greater extent. In order to avoid the intensification of contradictions, maintain social stability and guarantee the construction of socialism with Chinese characteristics after the entry of WT0, we must stay cool-headed, upgrade the ability of the Party in power, follow the road of socialism with Chinese characteristics steadfastly and set up the national economic security system for the new era. Apart from economic means, a comprehensive use of political, military and scientific and technological means should also be used to safeguard the national economic security. We have to expand our economy, reduce unemployment, avoid unfairness in distribution, and eliminate the root of social contradictions. What is more, we have to be on guard against the invasion of the declination and corruption of the western culture, and to make our society more fit for the socialist culture to prosper. The rapid development of information revolution on the basis of Internet has greatly changed the mode of production and people's way of life. It has asserted increased influence on the political, economic activities of the country. The present social contradictions are, in a sense, the consequence of this Internet Age. To begin with, Internet is practical in nature, bearing the features of substance. It brings us not only material forms such as computers, database, broad bands, but also a particular pattern of practice and the Internet culture that follows. Secondly, Internet also bears some spiritual features, which is characterized by its virtuality Yet, the impact it has on reality is inevitable. With the coming of the information society, man is now able to break down his biological constraints, to show his initiative to affect the outside world, and to make his mind capable of influencing the society in an unprecedented way. The Internet has changed the nature of work, and guaranteed the autonomy of the cognitive subject and the validity of his judgement. The appearance of Internet has, in its virtual world, removed the obstacle of time and space. It has started a revolution in man's way of communication. While increasing its investment to encourage the construction of Internet and to push forward the informationalization of the society, the goven1ment has also adopted active measures to eliminate the harm that has already appeared, and has brought its management under the supervision of law. The development of Internet has produced negative effect upon the political life of our country. First, it has brought about new threats to the security of the country; Second, it is used by some as a channel to spread pornography, to engage in gambling, and to sell narcotic drugs; Third, the anarchy of the Internet management has stimulated and intensified social contradictions, resulting in the escalation of social conflicts. The overall influence caused by the development of Internet on the evolution of social contradictions requires that we take appropriate relative measures to eliminate or weaken its negative effects on the development of the society while enhancing its positive ones. We have to find out its intrinsic features by studying it from all the related perspectives. The strategy that we adopt has to be such that combines safeguarding with correct guidance. We must squarely face the impact on the administration and management of the society, speed up the construction of legal procedures, and lay a solid legal foundation for the healthy and orderly development of Internet",1026935264, 新时期社会矛盾研究,Dissertations & Theses," Guo, Yue
Guo
Yue
Guo, Yue
郭跃",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 2715134241 , 70606782 , 189128 , H411331 , H411331", Dissertation/Thesis, 2006,, Chinese, Chinese, 新时期社会矛盾研究,2006,PQDT - Global,2006,https://search.proquest.com/docview/1026935264?accountid=14496, 0422 Philosophy, 0422 Philosophy, 0422 Philosophy,, 0422 Philosophy, Philosophy," (UMI)AAIH411331 , Philosophy, religion and theology , basic social contradiction , contradiction of different nature , major social contradiction , social contradiction , social stratification , 两类不同性质的矛盾 , 理论范式 , 社会基本矛盾 , 社会矛盾 , 阶级分析",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=On+Socia+Contradiction+of+the+New+Eya&amp;issn=&amp;date=2006-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Guo%2C+Yue&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3,"Private loss, public gain: Orphans in Malawi","In the twentieth century, concern with child welfare resulted in one of the fastest growing social movements in the West. From the establishment of the Save the Children Fund in the UK at the close of the First World War, to the setting up of United Nations Children's Fund following the Second, to the near universal ratification of the Convention on the Rights of the Child in 1989, the child welfare movement has been marked by a concern with children internationally. In the last seventeen years, since the ratification of the convention, interest in the welfare of children in the developing world has grown dramatically. Children's welfare appeared in the 1997 UK Government white paper on international development, the World Bank suggested that child welfare was a useful development indicator, and large numbers of non-governmental-organisations were established (Boyden 1990). In Southern Africa, as a result of the HIV/AIDS pandemic, the close of the twentieth century saw increasing numbers of orphans appearing. As international concern regarding the social impacts of HIV/AIDS has risen, these orphans have become an issue of particular concern (Aspaas 1997). As a result of both the increasing interest in children's lives in general and the concern with orphans in particular, there are now a number of organisations specialising in orphan care (World Bank 2004, US Peace Corps 2004). These projects constitute a new social arena within which children live at least part of their daily lives. This thesis is an exploration of the social significance of four orphan-care projects functioning in Malawi. The analysis is made by looking at the identity of orphan as a social construct that has various uses, meanings and symbols attached to it and as a set of experiences that occur to children who have lost, through death, one or both of their parents.",1428819743,,Dissertations & Theses," Hutchinson, Eleanor
Hutchinson
Eleanor
Hutchinson, Eleanor",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 3058695591 , 81305752 , 189128 , 9781303380822 , U592987 , U592987", Dissertation/Thesis, 2006, 9781303380822, English, English,,2006,PQDT - Global,2006,https://search.proquest.com/docview/1428819743?accountid=14496, 0630 Public policy, 0630 Public policy, 0630 Public policy,, 0630 Public policy, Public policy," (UMI)AAIU592987 , Social sciences , Orphans",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Private+loss%2C+public+gain%3A+Orphans+in+Malawi&amp;issn=&amp;date=2006-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Hutchinson%2C+Eleanor&amp;isbn=9781303380822&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
4,"""From below and to the left"": Re-imagining the Chicano movement through the circulation of third world struggles, 1970-1979","Activists, artists, journalists, and intellectuals in the United States, from the 1950s to the present, have supported national liberation movements in Latin America, Africa, and Asia, arguing that anti-colonial struggles abroad were related to human and civil rights struggles in the United States. This dissertation builds on these foundations by tracing multi-racial and transnational connections among people and organizations in the United States, and between the United States and Latin America during the 1970s. Uncovering these connections that linked the Third World ""within"" to the Third World ""without"" across the Americas reconfigures the narrative of what happened to social movements in the 1970s, and helps us re-imagine the Chicano movement through the lens of an anti-colonial politics. This project bridges the local, national, and international terrains of political struggle by tracing the lives of activists and organizations in the United States and Latin America who defined their politics in relation to the Third World. It interrogates four inter-related themes: the prison rebellions in the United States, third world political activity in major U.S. urban centers, guerrilla theatre on both sides of the U.S-Mexican (and by extension Latin American) international border, and social movement connections between Texas and Mexico. My primary focus is on localized strategies for grassroots mobilizations rooted in working class cultural practices, multi-ethnic solidarities, and transnational political formations that were comprised of Chicano, Black, Asian, Puerto Rican, Mexican, American Indian, and white activists and artists. I also emphasize the local elements involved in the political alliances, coalitions, and solidarity efforts across geopolitical borders and different political perspectives. Overall, this project explores connections across, underneath, and outside the political, economic and cultural construction of the nation state, and the hemispheric construction of the Americas with the United States as the primary political, economic and cultural power. These intertwined perspectives simultaneously step back to interrogate the larger international connections while focusing in on local manifestations of national issues refracted through a hemispheric lens. It is in the 1970s - a decade characterized by a shift in the policies of the crisis-ridden political economy of the Keynesian welfare state in response to these very struggles - that we should locate the early elements of what is currently referred to the anti-globalization movements.",1524722390,,Dissertations & Theses," Gomez, Alan Eladio
Gomez
Eladio
Alan
Gomez, Alan Eladio",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 3304471741 , 32566941 , 66569 , 9781303818691 , 3615778 , 3615778", Dissertation/Thesis, 2006, 9781303818691, English, English,,2006,ProQuest Dissertations and Theses,2006,https://search.proquest.com/docview/1524722390?accountid=14496," 0336 Latin American history , 0337 American history"," 0336 Latin American history , 0337 American history"," 0336 Latin American history , 0337 American history",," 0336 Latin American history , 0337 American history"," Latin American history , American history"," Social sciences , Borderlands , Chicana/o studies , Incarceration studies , Social movements , Theatre against empire , U.s. third world politics and revolution",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=%22From+below+and+to+the+left%22%3A+Re-imagining+the+Chicano+movement+through+the+circulation+of+third+world+struggles%2C+1970-1979&amp;issn=&amp;date=2006-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Gomez%2C+Alan+Eladio&amp;isbn=9781303818691&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
5,Life is treasure for everyone: actually emerging cosmopolitanism in the experiences of the okinawan peace movement participants,"This thesis attempts to analyse and explain the contemporary peace movements in Okinawa, the southernmost island area of Japan. This is an area where US bases and servicemen have caused various problems for more than half a century. Against this situation, active peace movements are going on in Okinawa, with their communication networks extended across national and regional boundaries. In the theoretical selection, recent discussions on the so-called ""global social movements"" are critically examined. It is pointed out that they tend to dismiss complexities of communications between different individuals involved with social movements. As a consequence, it is argued that this research can more properly be conducted under the framework of ""cosmopolitan social science"", which takes account of diverse experiences of individuals engaged with transnational communications. In the empirical section, various activities, experiences, and tactics of different individuals committed to the Okinawan peace movements are highlighted. The main issues of the movements include: US militarism; the environmental destruction caused by US bases; the military violence against women; the memory of the 1945 Battle of Okinawa; the ""ethnic"" claims of Okinawans as distinct form the Japanese Mainlanders; the ""tourist gaze"" of the Japanese Mainlanders on Okinawa, which dismisses social problems in Okinawa. Based on the above analysis, it is discussed that Okinawans' experiences of communications with the like-minded citizens on the Japanese Mainland and overseas have had a considerable effect of transforming their 'Okinawan identity"", which has conventionally been associated with their ""victim consciousness"" against the Japanese Mainlanders. In the other words, they have come to reframe their movements through a transnational perspective, in which case they need not, or should not, always be preoccupied with the ""victim consciousness"". This ""actually emerging cosmopolitanism"" among Okinawans reminds us that an analysis of social movements should have a careful look at social interactions between different individuals in the movements, rather than presupposing their collectivity.",301643019,,Dissertations & Theses," Iwasa, Masashi
Iwasa
Masashi
Iwasa, Masashi",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1760801561 , 45136401 , 101309 , U213336 , U213336", Dissertation/Thesis, 2006,, English, English,,2006,PQDT - UK & Ireland,2006,https://search.proquest.com/docview/301643019?accountid=14496, 0700 Social structure, 0700 Social structure, 0700 Social structure, Bibliographic information obtained from the British Library., 0700 Social structure, Social structure," DXN100388 , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Life+is+treasure+for+everyone%3A+actually+emerging+cosmopolitanism+in+the+experiences+of+the+okinawan+peace+movement+participants&amp;issn=&amp;date=2006-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Iwasa%2C+Masashi&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
