ID,Title,Abstract,StoreId,AlternateTitle,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,isbn,language,languageOfSummary,originalTitle,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,notes,subjectClassifications,subjectTerms,subjects,FindACopy,Database
3384,Marx's theory of revolution.,"The present thesis is a study of the origins and development of Marx's theory of revolution, setting it in its historical context and relating it to Marx's practical activity as editor, revolutionary and spokesman for the general European working-class and socialist movement in the 19th century. From a detailed examination of Marx's writings it will be seen that proceeding from the standpoint of Young Hegelian Idealism, Marx came partly from his reading but more importantly from his involvement with `lq material interests (I), begun as editor of the Rheinische Zeitung of 1842-3, to an analysis of the modern individualistic and competitive system of industrial capitalism, and further from his experience of the Parisian working-class and the revolt of the Silesian weavers in 1844 to the conclusion that the industrial proletariat had the potential to overthrow this system and replace it with a harmonious, co-operative society with neither private property, social classes nor state. In examining too, the ideas and strategies of other revolutionary thinkers the specific features of Marx's revolutionary concept will be brought into sharper focus- in particular its fundamentally democratic character. In this respect it will be seen that the crucial watch-word formulated by Marx for The International Working Men's Association in 1871 that `lq the emancipation of the working classes must be conquered by the working classes themselves (2) can well serve as the leit-motiv of Marx's entire revolutionary career, and that this watch-word is directly linked to the theoretical conclusions of both The German Ideology and The Theses on Feuerbach in 1845-6, that equal weight must be given to `lq men and `lq circumstances in the making of history and that `lq the coincidence of the changing of circumstances and of human activity can be conceived and rationally understood only as revolutionising practice . (3)(1) Preface to a Contribution to the Critique of Political Economy, Lawrence and Wishart, London, 1971, p. 19.(2) Preamble to the General Rules of The International Working Men's Association, Selected Works, Vol II, Progress Publishers, Moscow, 1973, p. 19.(3) The German Ideology, Vol I, Feuerbach, Progress Publishers, Moscow, 1965, p. 51; Theses on Feuerbach (Thesis III), ibid. Addenda, p. 66.",301497230,,Dissertations & Theses," Shipton, F.D.R.
Shipton
F.D.R.
Shipton, F.D.R.", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1756150851 , 44371851 , 101309 , U028857 , U028857", Dissertation/Thesis, 1989,, English, English,,1989,PQDT - UK & Ireland,1989,https://search.proquest.com/docview/301497230?accountid=14496, 0615 Political science, 0615 Political science, 0615 Political science,, 0615 Political science, Political science," (UMI)AAIU028857 , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Marx%27s+theory+of+revolution.&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Shipton%2C+F.D.R.&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3385,"Friendly patriotism: british quakerism and the imperial nation, 1890-1910","In the arc of the years 1890 to 1910, British Quakers wrestled almost continually and inconclusively over the question of the Society of Friends' right relationship to the State, to the Empire, to politics, and to government. Conflicting pressures toward respectability and radicalism repeatedly tested the Society's loyalties to the Imperial nation and to its heritage of Dissent. It is in this period of what came to be known as the 'Quaker Renaissance' that I have located the emergence of what I call 'Friendly patriotism' - a complex set of attitudes by which public - spirited Quakers attempted to straddle multiple identities. Radical Dissenter and Evangelical Nonconformist; Christian Prophet and Subject of Empire - the 'Friendly patriot' of the period struggled to be true to sometimes wildly divergent traditions and impulses in his desire to embody an ideal of 'Christian citizenship'. No longer a 'Peculiar People', no longer relegated to a social or economic periphery, Quakers had been self-consciously integrating themselves into the mainstream of British life with enviable speed and success. At the close of the nineteenth century, the Society of Friends developed an acute sense of a special Quaker mission to improve the public culture of the day. What were perceived as the Society's unique spiritual and ethical testimonies were to become the essential ingredients of a national and international regeneration. The health of the Emprie rested, in part, with the capacity of civic-minded Friends to commit themselves to its care. Quakerism began to view itself not simply as being integrated into British public life, but integral to its further development. The welfare of the State became intimately linked to the effectiveness of Quaker participation in its political institutions. In this thesis, I have chosen to focus upon three of the most vivid expressions of the social and poltiical feeling within the Society of Friends which I have called 'Friendly patriotism'. The Quaker response to the Nonconformist campaign against the 1902 Education Act, the Quaker approach to international relations within the late nineteenth- and early twentieth-century European peace movement, and the Quaker crusade on behalf of Anglo-German friendship before the First World War revealed the Society's eagerness to interpret and re-interpret its extraordinary heritage of pacificsm and social responsibility in the light of the requirements of the new century. The outward turning of the Evangelical spirit, the firm conviction of Quakerism's unique message for both the churches and the governments of the world, and the profund belief in the Society of Friends' responsibility for the spiritual well-being of the Empire are reflected in each of these dimensions of the Society's life during the period. This work attempts to lift Quaker historiography out of the inevitable parochialism of 'in-house' denominational scholarship in which it has long been mired, and place a critical moment in the history of the Society of Friends within the context of a broader intellectual and cultural framework.",301520213,,Dissertations & Theses," Phillips, Brian David
Phillips
David
Brian
Phillips, Brian David", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1752114211 , 44183991 , 101309 , U017127 , U017127", Dissertation/Thesis, 1989,, English, English,,1989,PQDT - UK & Ireland,1989,https://search.proquest.com/docview/301520213?accountid=14496, 0335 European history, 0335 European history, 0335 European history, Bibliographic information obtained from the British Library., 0335 European history, European history," (UMI)AAIU017127 , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Friendly+patriotism%3A+british+quakerism+and+the+imperial+nation%2C+1890-1910&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Phillips%2C+Brian+David&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3386,History of the Panamanian novel,"Despite the ever-increasing attention given to the Spanish American novel, the novelistic traditions of some Spanish-speaking countries remain undocumented. One nation whose writers have been ignored by the international critical community is the Republic of Panama. Although Panama has produced many excellent novelists, isthmian authors continue to be relegated to marginal status. The reasons for this have less to do with the question of intrinsic worth than with other factors, such as limited access to mass audiences and the absence of a viable publishing industry. This dissertation presents a comprehensive historical survey of the Panamanian novel, and demonstrates that isthmian writers merit more consideration than they have heretofore received. The study begins with an overview of Panamanian history, in order to show the economic, social and political forces that have shaped isthmian culture. Then, the beginnings of the Spanish American novel are outlined in order to establish the context that gave rise to the first novelistic efforts--from 1849 to 1903--by Panamanian writers. From the 1920's onward, the Panamanian novelistic tradition began to gain momentum, initially serving as an expression of Modernism, but soon evolving (in the 1930's) into a vehicle for Criollist-oriented works predominantly imbued with Realist and Neo-Romantic elements. It will be demonstrated that Panama's regionalist movement, which maintained its vitality until the 1960's, possesses a rich thematic diversity, and is worthy of study not only for aesthetic reasons, but for its insights about the isthmus and its people. Panamanian Criollism explores rural and urban themes from a wide variety of perspectives, features historical novels depicting significant events in the country's past, and examines the impact of the Panama Canal on the nation via the ""novela canalera."" In the last several decades Panamanian novelists, while continuing to portray isthmian reality, have also embraced the cosmopolitan outlook and stylistic innovations associated with the more renowned exponents of contemporary Spanish American fiction. It will be shown that, like the Modernist and Criollist writers of previous generations, current Panamanian authors have also been denied the recognition due them, for their contributions have been substantial.",303670253,,Dissertations & Theses," Lindenau, Donald Clark
Lindenau
Clark
Donald
Lindenau, Donald Clark", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 747108681 , 28065201 , 66569 , 9028929 , 9028929", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303670253?accountid=14496, 0312 Latin American literature, 0312 Latin American literature, 0312 Latin American literature,, 0312 Latin American literature, Latin American literature," Language, literature and linguistics , Criollism , Modernism",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=History+of+the+Panamanian+novel&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Lindenau%2C+Donald+Clark&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3387,"Visions and revisions of the American landscape: Paintings and photographs of the Stieglitz Circle, 1924-1934","It is commonplace, in art historical parlance, to cite photographer Alfred Stieglitz' New York gallery, ""291"", as the channel through which the most innovative European modes of representation were received in the United States in the years of the gallery's existence: 1905-1917. Emphasis has been placed on Stieglitz' role as the American importer and promoter of significant modern European masters. But Stieglitz played another, equally important, role during the ""291"" years, and even more prominently through his engagement with the Intimate Gallery (1925-29) and An American Place (1929-46), two later galleries which are the focus of this dissertation. It was these later ""salons"" that saw his most avid promotion of the American artists: Demuth, Dove, Hartley, Marin, O'Keefe and Strand, who became known as the ""Stieglitz Circle"". In fact, after the closing down of ""291"" in 1917, Stieglitz chose to exhibit, exclusively, the work of American artists. In addition to revising the misleading identification of Alfred Stieglitz exclusively with ""291"" ideals and accomplishments, this paper also seeks to correct the familiar assumption that it was not until the forties that a native art, international in ambitions, was created in America. Rather, in the decades following the First World War, the painters and photographers of the Stieglitz group invented unique idioms of pictorial representation which would eloquently and effectively express to a receptive, international public a specifically American aesthetic and social philosophy. The modes of representation they coined were propagated and legitimized by an on-going series of gallery exhibitions orchestrated by Stieglitz and supported by the coterie of artistic and cultural critics who comprised the inner circle. Indeed, during the post-war period, artists of the Stieglitz group introduced into the arena of image-making innovative landscape modes--as ambitious as those of any contemporary American or European movement--with which they both defined and celebrated their native land. Depictions of the American land became their forte, indeed their obsession. The specific nature and complex meanings of their urban and rural landscape images are analyzed in my paper.",303679046,,Dissertations & Theses," Connor, Celeste
Connor
Celeste
Connor, Celeste", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 745018111 , 28054841 , 66569 , 9006288 , 9006288", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303679046?accountid=14496," 0357 Fine Arts , 0323 American studies"," 0357 Fine Arts , 0323 American studies"," 0357 Fine Arts , 0323 American studies",," 0357 Fine Arts , 0323 American studies"," Fine Arts , American studies"," Communication and the arts , Social sciences , Demuth , Dove , Hartley , Marin , O'Keeffe , Strand",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Visions+and+revisions+of+the+American+landscape%3A+Paintings+and+photographs+of+the+Stieglitz+Circle%2C+1924-1934&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Connor%2C+Celeste&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3388,"Women's campaigns against West German rearmament, 1949-1955","This dissertation addresses the issue of West German rearmament and the widespread opposition to it between 1949 and 1955. The study examines women's involvements in the campaign against German remilitarization in particular since the percentage of women opposed to rearmament was considerably higher than that of men. Specifically, the dissertation focuses on two women's peace organizations during the Adenauer era: the German Section of the Women's International League for Peace and Freedom (WILPF), officially reestablished in 1949, and the West German Women's Peace Movement (WFFB), founded in 1952. The case-studies of the two women's organizations describe the difficulties and problems of non-parliamentary opposition groups in general and women's groups in particular. Problems addressed will include the women's motives for their involvement, their self-awareness, political activities, channels of communication, as well as their reaction to governmental accusations of being Communists. The study concludes with an analysis of the achievements and the set-backs of the women activists. In addition to examining internal reasons for the women's successes and failures, the study deals with the socio-political and economic conditions which prevailed during the period under consideration. In illuminating the responses of the Adenauer government toward the peace protesters, the study goes beyond being a description of women's peace activities. Rather, it analyzes the women's motives, goals, and programs in the context of postwar German social and political realities. Though the women failed to achieve their major goal of keeping the Federal Republic of Germany disarmed, they succeeded in setting examples and living lives which conformed to their political beliefs. The active women proved that powerful personal war and postwar experiences could help to overcome political apathy and transform many past fears of political action into energy for political action. In ""daring more democracy"" themselves, the activists contributed to a broader participation in the democratic process. Thus, these activists and their successors became a force in society.",303693379,,Dissertations & Theses," Meyer, Helga Anna
Meyer
Anna
Helga
Meyer, Helga Anna", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 743974631 , 26537511 , 66569 , 8923514 , 8923514", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303693379?accountid=14496," 0509 Economic history , 0335 European history , 0453 Womens studies"," 0509 Economic history , 0335 European history , 0453 Womens studies"," 0509 Economic history , 0335 European history , 0453 Womens studies",," 0509 Economic history , 0335 European history , 0453 Womens studies"," Economic history , European history , Womens studies"," Social sciences , Germany",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Women%27s+campaigns+against+West+German+rearmament%2C+1949-1955&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Meyer%2C+Helga+Anna&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3389,Jewish emigres and popular images of Jews in Japan,"This study explores the movement of people and ideas across national borders. Analysis, based upon interviews and examination of popular texts, focuses on individuals whose relocation is a result of dislocation, and on stereotypes fashioned in one culture and exploited and transformed in another. Interviews were conducted 1984-86 in Tokyo, Yokohama and Kobe with Jewish emigres whose presence in Japan is related to political events dating from the 1920's that blocked their lands of origin as places of residence or points of return. Representations of Jews in Japanese popular texts were culled from sources, including magazines, newspapers, novels and bestsellers, school textbooks, drama, television and comics, that span the period from the introduction of Western literature in Japan in the late 19th century to the 1980's. The Jew of popular Japanese literature is highly articulated, endowed with qualities that reveal ample evidence of a variety of absorbed Western ideas on Jews and a full palette of anti-Semitic stereotypes inspired by ""The Merchant of Venice"" and The Protocols of the Elders of Zion, as well as sympathetic renderings of Jewish diaspora and the Holocaust. It remains a mental universe, however, virtually unknown to most of the Jewish emigres in Japan, much less thought to be a matter of concern capable of affecting their action in Japan where Jewish cultural markers remain non-salient and operationally invisible. The Jewish emigres exist in Japan as Western foreigners who have occupied a rather privileged but politically powerless position, substantially different from that of Asians and minorities in Japan. The Japanese portrayal of Jews represents a metaphor of the West, and is deeply embedded in a search to define Japanese national identity and Japan's place in the world. The dissertation address the issue of statelessness, the idea of incorporation in a social arena that stresses homogeneity, and the problem of identity formation. It is argued that both the Jewish emigre in Japan and the Japanese construct of a Jewish stereotype are to be understood in the context of global historical, political and economic forces that determined their entry and operation in Japan.",303697946,,Dissertations & Theses," Silverman, Cheryl A.
Silverman
A.
Cheryl
Silverman, Cheryl A.", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 747131271 , 28052391 , 66569 , 9127974 , 9127974", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303697946?accountid=14496," 0631 Minority & ethnic groups , 0631 Sociology , 0326 Cultural anthropology , 0305 Asian literature"," 0631 Minority & ethnic groups , 0631 Sociology , 0326 Cultural anthropology , 0305 Asian literature"," 0631 Minority & ethnic groups , 0631 Sociology , 0326 Cultural anthropology , 0305 Asian literature",," 0631 Minority & ethnic groups , 0631 Sociology , 0326 Cultural anthropology , 0305 Asian literature"," Minority & ethnic groups , Sociology , Cultural anthropology , Asian literature"," Social sciences , Language, literature and linguistics",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Jewish+emigres+and+popular+images+of+Jews+in+Japan&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Silverman%2C+Cheryl+A.&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3390,Such a contracted sphere: Some aspects of the writing of Australian history prior to 1900,"Students of Australians historiography generally fail to connect what has been written in the Twentieth Century with what came before. This thesis attempts to fill some part of this gap in Australian historiography by looking at the way in which some claimants to the name 'Australian' reconstructed the past during the Nineteenth Century. In particular, it demonstrates the development of traditions in, of influences on, and versions of, the interpretation of Australian history in the works of four Australian 'historians': William Charles Wentworth, John Dunmore Lang, John West, and George William Rusden. Wentworth's A Statistical, Historical and Political Description of the Colony of New South Wales..., is shown to arise out of the classical, legal and political sources of the time, and to affect future writing on the past by the establishment of a model of historiography. West's History of Tasmania is the first full-blown work of history on the colonial scene. As such, his history can be seen as one of the first links in the Liberal historiographical section which was to develop so strongly in the Twentieth Century, and is linked to some of the social movements that formed the 'liberal' politics of mid-Nineteenth Century Australia. In contrast, G. W. Rusden's History of Australia demonstrates both terminating and continuing strands in Australian historiography. His imperialist, romantic and commemorative historiography was part of the scene that the increasingly professionalised craft in Australia rejected, and yet, as the standard library work of the day, he was an important transmitter of developing historiographical mythologies still traceable today in the works of historians. The argument of this thesis is that there was a colonial historiography in Australia identifiable by its political usages and liberal-conservative preconceptions, that this historiography developed from and in competition with other literary forms and under the impact of international models, and that it laid the basis for the twentieth century studies in Australian history.",303746272,,Dissertations & Theses," Hutchinson, Mark
Hutchinson
Mark
Hutchinson, Mark", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 744817331 , 28061701 , 66569 , 0569389 , 0569389", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303746272?accountid=14496, 0332 History, 0332 History, 0332 History,, 0332 History, History, Social sciences,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Such+a+contracted+sphere%3A+Some+aspects+of+the+writing+of+Australian+history+prior+to+1900&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Hutchinson%2C+Mark&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3391,Local knowledge and the politics of world order: Interpretation and international relations,"This dissertation is an exploration of the manner in which western cultures, and especially liberal American world order studies, has constituted normative discussions of world politics. By beginning with the assumption that all such discussions imply rather broad cultural interpretations, the object of the study is initially to reveal the implicit cultural biases in past western efforts to construct a normative vision of world politics. Beginning with the emergence of the law of nations in Grotius, Pufendorf and Wolff, through the enlightenment search for peace through international organization that found its clearest spokesperson in Kant and into the contemporary intellectual world order movement that includes Falk, Galtung and a host of others, it is the western conceived notion of the social contract with underlies all western thought on world politics and, in the opinion of this dissertation, leads it astray from being able to accomplish the normative goals espoused. To work toward correcting this situation ideas are then presented which might lead toward the purposeful inclusion of cultural interpretations into the study of world politics. This would make world order studies a near relative of contemporary interpretive anthropology especially in the re-evaluation of the importance of local knowledges. This reconstructive effort includes both an exploration of the times and types of historical re-interpretation of politically significant events/periods that will be required to create an interpretive world politics and a tentative exploration of the manner in which future world politics can be discussed from within the western cultures. The emphasis here is placed on an ""ethic of toleration."" It is the ultimate position of this dissertation that a continued place in world politics for western cultures can only come through such an ethic.",303756740,,Dissertations & Theses," Smith, David Alan
Smith
Alan
David
Smith, David Alan", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 746388051 , 28511281 , 66569 , 9018993 , 9018993", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303756740?accountid=14496," 0616 International law , 0616 International relations , 0615 Political science"," 0616 International law , 0616 International relations , 0615 Political science"," 0616 International law , 0616 International relations , 0615 Political science",," 0616 International law , 0616 International relations , 0615 Political science"," International law , International relations , Political science", Social sciences,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Local+knowledge+and+the+politics+of+world+order%3A+Interpretation+and+international+relations&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Smith%2C+David+Alan&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3392,Re-interpreting the Taiwan experience: State planning and the emergence of bureaucratic-authoritarian pluralism,"This is a study on the role of the KMT party-state in the post-war development of Taiwan. Specifically, it seeks to monitor the evolution of the state's role in socioeconomic management by examining the changes in the overall state-society relations. Two specific issues--the consumer protection movement and the breakthrough in trade opportunity with the Soviet Union and Eastern Europe--are analyzed in detail. They are intended to illustrate how an increasingly assertive, self-confident private sector has demanded greater participation in policy-making and, thus, more control of their own destiny. Despite a more aggressive private sector and recent measures to relax the once authoritarian control of the government, prospects for multi-party, pluralist democracy in Taiwan remain distant. Primarily because of (1) the Confucian cultural traditions, (2) Taiwan's peculiar international status, and (3) Taiwan's delicate relations with the PRC government on the mainland, a political system characterized by open confrontation and multi-party competition seems highly uninviting. It is in this respect that Bureaucratic-Authoritarian Pluralism (BAP), not pluralist democracy, will likely characterize the new type of state-society relations. Following martial law, civil liberty in Taiwan has been expanded appreciably. In spite of the relaxation of control, there are specific boundaries, as manifested in the newly-enacted National Security Law, which no one should violate. Therefore, in this ""restricted"" type of pluralism, dissenting views are permitted but not conciliated; and ""deviated"" behaviors are tolerated but not placated. The government still retains extensive control of social groups' behaviors and activities, particularly on some politically ""sensitive"" matters; and it reserves the right to discipline, or outright disband, groups that violate stipulated rules and regulations. In all, martial law might have been lifted, but the age of socio-political control continues in Taiwan by merely assuming a different form--where the style of leadership has changed from exclusionary to inclusive, the method of governing from domination to coordination, and the pattern of management from coercive to manipulative.",303765814,,Dissertations & Theses," Wu, Raymond Ray-kuo
Wu
Ray-kuo
Raymond
Wu, Raymond Ray-kuo", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 747108911 , 28050681 , 66569 , 9029077 , 9029077", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303765814?accountid=14496," 0615 Political science , 0700 Social structure , 0999 Urban planning , 0999 Area planning & development"," 0615 Political science , 0700 Social structure , 0999 Urban planning , 0999 Area planning & development"," 0615 Political science , 0700 Social structure , 0999 Urban planning , 0999 Area planning & development",," 0615 Political science , 0700 Social structure , 0999 Urban planning , 0999 Area planning & development"," Political science , Social structure , Urban planning , Area planning & development"," Social sciences , China",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Re-interpreting+the+Taiwan+experience%3A++State+planning+and+the+emergence+of+bureaucratic-authoritarian+pluralism&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Wu%2C+Raymond+Ray-kuo&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3393,The internal and external dimensions of the Portuguese revolution. (Volumes I and II),"The internal and external dimensions of the Portuguese revolution provide a case study of the dynamics of regime transformation. Portugal, the oldest authoritarian regime in Europe, was transformed via a coup by junior military officers, whose role had previously been to maintain the regime. The Portuguese military is an interesting case study in regime transformation. It was the military that transformed the First Republic into the Estado Novo and that transformed the authoritarian regime into a democracy. The Portuguese transformation from authoritarianism to democracy was linked to the increasing alienation within the armed forces due to the colonial wars. The young officers of the Movement of the Armed Forces initiated the transformation with few, but specific, goals: decolonization, the dismantling of the authoritarian regime via a political and social revolution, and economic development. The pursuit of these goals unleashed a host of previously excluded forces. Political parties of every ideological configuration emerged from underground while others sprang anew in the postcoup chaos. Spontaneous demonstrations erupted all over Portugal. Previously excluded from participation, these elements vied for power in the postcoup settlement. The dynamics of this internal and external transformation affected the character and consequences of the new democratic regime. With the eruption of popular participation came the struggles for power among the political parties, particularly, the older, more organized parties of the traditional opposition: the Portuguese Communist party and the Socialist party. These parties vied for power and support internally from the flood of new participants, and externally from allies in their respective party organizations. By exploring the antecedents to this transformation, the authoritarian regime's policies, and the dynamics of the transformation process, it is possible to evaluate the causes and consequences of that transformation. The following thesis emerges: Portugal's transformation from an authoritarian regime is inextricably related to the shortcomings of the Estado Novo (New State), particularly the colonial and economic policies; the affront to the military's self-interest; and the costs and hardships of the unwinnable colonial wars. The second thesis emerges: this transformation unleashed a dynamic flood of popular participation in Portuguese politics at a critical time in superpower relations, which thrust the transformation from authoritarianism to democracy in Portugal into the much greater global transformation of East-West detente.",303767873,,Dissertations & Theses," Nichols, Christianna E.
Nichols
E.
Christianna
Nichols, Christianna E.", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 744786921 , 28077671 , 66569 , 9004742 , 9004742", Dissertation/Thesis, 1989,, English, English,,1989,ProQuest Dissertations and Theses,1989,https://search.proquest.com/docview/303767873?accountid=14496," 0615 Political science , 0616 International law , 0616 International relations"," 0615 Political science , 0616 International law , 0616 International relations"," 0615 Political science , 0616 International law , 0616 International relations",," 0615 Political science , 0616 International law , 0616 International relations"," Political science , International law , International relations", Social sciences,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+internal+and+external+dimensions+of+the+Portuguese+revolution.+%28Volumes+I+and+II%29&amp;issn=&amp;date=1989-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Nichols%2C+Christianna+E.&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
