Random Num,Random Num Values,Num,Ideology,Meta,Specific,Title,Abstract,StoreId,AlternateTitle,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,isbn,language,languageOfSummary,originalTitle,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,notes,subjectClassifications,subjectTerms,subjects,FindACopy,Database
0.559226842,0.995723045,1091,Left,(im)migration,Hmong diaspora,Refugee utopias: (Re)theorizing refugeeism through cultural production of the Hmong diaspora,"This dissertation theorizes the existence of â€œrefugee utopiasâ€ùâ€”fraught liminal spaces of refugee resettlement wherein culture is produced and reproduced in moments of transition, suspension, and progression that put communities into diaspora. Engagi",304512988,,Dissertations & Theses," Ogden, Mitchell Paul
Ogden
Paul
Mitchell
Ogden, Mitchell Paul", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1594487731 , 40125381 , 66569 , 9780549751571 , 3323546 , 3323546", Dissertation/Thesis,2008,9.78E+12, English, English,,2008,ProQuest Dissertations and Theses,2008,https://search.proquest.com/docview/304512988?accountid=14496," 0591 American literature , 0631 Minority & ethnic groups , 0631 Sociology"," 0591 American literature , 0631 Minority & ethnic groups , 0631 Sociology"," 0591 American literature , 0631 Minority & ethnic groups , 0631 Sociology",," 0591 American literature , 0631 Minority & ethnic groups , 0631 Sociology"," American literature , Minority & ethnic groups , Sociology"," Social sciences , Language, literature and linguistics , Cultural production , Diaspora , Hmong , Literacy , Refugee , Utopia",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Refugee+utopias%3A+%28Re%29theori,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
0.783705896,0.99294028,1192,Left,(im)migration,Morrocan migration,Migratory trajectories: Moroccan borderlands and translocal imaginaries,"The creation of the E.U., a polymorphous political, economic and ideological space, has transformed and distended European statesâ€™ national borders. This Europeanization of national borders has made all E.U. borders equally appealing to migrants and ref",304986137,,Dissertations & Theses," Alaoui, Oum-Hani
Alaoui
Oum-Hani
Alaoui, Oum-Hani", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1830105961 , 44005001 , 66569 , 9781109252774 , 3364525 , 3364525", Dissertation/Thesis,2009,9.78E+12, English, English,,2009,ProQuest Dissertations and Theses,2009,https://search.proquest.com/docview/304986137?accountid=14496," 0326 Cultural anthropology , 0615 Political science , 0630 Public policy"," 0326 Cultural anthropology , 0615 Political science , 0630 Public policy"," 0326 Cultural anthropology , 0615 Political science , 0630 Public policy",," 0326 Cultural anthropology , 0615 Political science , 0630 Public policy"," Cultural anthropology , Political science , Public policy"," Social sciences , Borders , Ethnography , Migration , Morocco , Stasis , Sub-Saharan Africa",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Migratory+trajectories%3A+Morocca,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
0.368631684,0.990998455,2765,Left,(im)migration,immigrant-serving organizations in the Canadian welfare state,The role of immigrant-serving organizations in the Canadian welfare state: A case study,"Drawing upon an interdisciplinary body of literature this thesis investigates the role of immigrant serving organizations in the Canadian welfare state. Comparative literature on the voluntary sector, international perspectives on settlement services for ",304478168,,Dissertations & Theses," Holder, B. Saddeiqa
Holder
Saddeiqa
B.
Holder, B. Saddeiqa", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 733037791 , 28610681 , 66569 , 9780612354043 , 0612354040 , NQ35404 , NQ35404", Dissertation/Thesis,1998," 9780612354043 , 0612354040", English, English,,1998,ProQuest Dissertations and Theses,1998,https://search.proquest.com/docview/304478168?accountid=14496," 0631 Minority & ethnic groups , 0631 Sociology , 0630 Welfare , 0385 Canadian studies"," 0631 Minority & ethnic groups , 0631 Sociology , 0630 Welfare , 0385 Canadian studies"," 0631 Minority & ethnic groups , 0631 Sociology , 0630 Welfare , 0385 Canadian studies",," 0631 Minority & ethnic groups , 0631 Sociology , 0630 Welfare , 0385 Canadian studies"," Minority & ethnic groups , Sociology , Welfare , Canadian studies"," Social sciences , Canadian , Immigrant-serving organizations , Welfare state",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+role+of+immigrant-serving+org,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
0.799035898,0.974462849,1909,Left,(im)migration,Canadian immigrants,The marginalised integration accounts of foreign-trained professional migrants in Canada: an analysis of structural and institutional barriers to integration,This thesis interprets subjective migration and integration experiences of foreign-trained professional (FTP) migrants in Canada and explores the relevance of their accounts concerning immigration policy developments.Â Â  Empirical evidence suggests that ,301667985,,Dissertations & Theses," Rahbari, M.
Rahbari
M.
Rahbari, M.", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1761114111 , 45192041 , 101309 , U233510 , U233510", Dissertation/Thesis,2007,, English, English,,2007,PQDT - UK & Ireland,2007,https://search.proquest.com/docview/301667985?accountid=14496, 0624 Occupational psychology, 0624 Occupational psychology, 0624 Occupational psychology,, 0624 Occupational psychology, Occupational psychology," DXN114403 , Psychology",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+marginalised+integration+acco,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
0.328480333,0.960501428,1530,Left,(im)migration,Pakistani migration,The mobilities of first generation pakistani migrants in newcastle-upon-tyne,Modern life is constantly being affected by increasing forms of mobility. These mobilities allow for people to carry out activities that form and maintain relationships and networks on a social and obligatory basis. Complex mobility systems have enabled g,1508818965,,Dissertations & Theses," Sattar, Zeibeda
Sattar
Zeibeda
Sattar, Zeibeda", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 3251465701 , 86268602 , 101309 , U605714 , U605714 , http://sure.sunderland.ac.uk/3529/", Dissertation/Thesis,2012,, English, English,,2012,PQDT - UK & Ireland,2012,https://search.proquest.com/docview/1508818965?accountid=14496," 0366 Geography , 0631 Ethnic studies"," 0366 Geography , 0631 Ethnic studies"," 0366 Geography , 0631 Ethnic studies", Bibliographic information obtained from the British Library.," 0366 Geography , 0631 Ethnic studies"," Geography , Ethnic studies"," http://sure.sunderland.ac.uk/3529/ , 573505 , Social sciences , England",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+mobilities+of+first+generatio,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
0.379298668,0.960156507,3843,Left,(im)migration,Mexican migrants in Arizonan copper town,"Always a struggle: Mexican Americans in Miami, Arizona, 1909â€“1951","""Always a Struggle: Mexican Americans in Miami, Arizona, 1909-1951"" examines the Mexicano and Mexican American experience in a copper mining town located approximately ninety miles east of metropolitan Phoenix. Scholars have not examined this group's hist",305026933,,Dissertations & Theses," Marin, Christine
Marin
Christine
Marin, Christine", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1031039701 , 18156881 , 66569 , 9780542399435 , 0542399431 , 3194937 , 3194937", Dissertation/Thesis,2005," 9780542399435 , 0542399431", English, English,,2005,ProQuest Dissertations and Theses,2005,https://search.proquest.com/docview/305026933?accountid=14496," 0337 American history , 0323 American studies"," 0337 American history , 0323 American studies"," 0337 American history , 0323 American studies",," 0337 American history , 0323 American studies"," American history , American studies"," Social sciences , Arizona , Civil rights , Mexican-Americans , Miami , Racism",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Always+a+struggle%3A++Mexican+Ame,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
0.326958956,0.950760805,1238,Left,(im)migration,british women's narratives of community in spain,Home and away: british women's narratives of community in spain,Aim: To examine constructions of community among retired migrants from the UK in the Costa Blanca in Spain. Background: â€˜Communityâ€™ as a concept has enduring theoretical and practical significance. Often discussed in terms of representing something lo,1779212407,,Dissertations & Theses," Ahmed, Anya
Ahmed
Anya
Ahmed, Anya", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 3974063951 , 102697252 , 101309 , 10018061 , 10018061 , http://usir.salford.ac.uk/28392/", Dissertation/Thesis,2010,, English, English,,2010,PQDT - UK & Ireland,2010,https://search.proquest.com/docview/1779212407?accountid=14496, 9998 No UMI subject assigned, 9998 No UMI subject assigned, 9998 No UMI subject assigned, Bibliographic information obtained from the British Library., 9998 No UMI subject assigned, No UMI subject assigned," http://usir.salford.ac.uk/28392/ , (UMI)AAI10018061 , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Home+and+away%3A+british+women%27,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
0.035999431,0.943639862,2596,Left,(im)migration,the Chicano movement,The emergence of the Chicano movement: Underlying dynamic factors and contributing occurrences from the past,"This essay inventories key historical precedents responsible for the emergence of the Chicano movement in the United States after the Second World War. It orders historical occurrences into four time periods: the conquest of the Aztec empire, the formatio",304239596,,Dissertations & Theses," Kressler, Harry Willy
Kressler
Willy
Harry
Kressler, Harry Willy", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 743727531 , 31588581 , 66569 , 1378549 , 1378549", Dissertation/Thesis,1995,, English, English,,1995,ProQuest Dissertations and Theses,1995,https://search.proquest.com/docview/304239596?accountid=14496," 0631 Minority & ethnic groups , 0631 Sociology , 0336 Latin American history , 0938 Demographics , 0337 American history , 0323 American studies"," 0631 Minority & ethnic groups , 0631 Sociology , 0336 Latin American history , 0938 Demographics , 0337 American history , 0323 American studies"," 0631 Minority & ethnic groups , 0631 Sociology , 0336 Latin American history , 0938 Demographics , 0337 American history , 0323 American studies",," 0631 Minority & ethnic groups , 0631 Sociology , 0336 Latin American history , 0938 Demographics , 0337 American history , 0323 American studies"," Minority & ethnic groups , Sociology , Latin American history , Demographics , American history , American studies"," Social sciences , Mexican-Americans , Mexico",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+emergence+of+the+Chicano+move,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
0.850479251,0.931712922,3796,Left,(im)migration,social justice in Korean society for migrant workers,A model for humane ministry with migrant workers in Korea,"Globalization in the past few decades has integrated the world economy into a complex whole, and today the international movements of production, capital, information, technology, trade and labor across the national borders are creating one giant global e",305135610,,Dissertations & Theses," Choi, Hyun-Sung
Choi
Hyun-Sung
Choi, Hyun-Sung", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1596615331 , 41071271 , 66569 , 9780549821540 , 3329194 , 3329194", Dissertation/Thesis,2004,9.78E+12, English, English,,2004,ProQuest Dissertations and Theses,2004,https://search.proquest.com/docview/305135610?accountid=14496," 0318 Religion , 0631 Ethnic studies"," 0318 Religion , 0631 Ethnic studies"," 0318 Religion , 0631 Ethnic studies",," 0318 Religion , 0631 Ethnic studies"," Religion , Ethnic studies"," Philosophy, religion and theology , Social sciences , Human rights , Korea , Migrant workers , Ministry",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=A+model+for+humane+ministry+with+,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
0.014835244,0.919977863,3222,Left,(im)migration,refugee displacement/social justice work in Canada,"Sieves and reeds: Identity, cohesion, and be-longing in a glocalizing space. Young Oromos in Toronto","This is a qualitative study examining complex micro and macro social processes of negotiating drastic shifts in identity, cohesion, and belonging in the context of refugee displacement. A community-based small sample of 18 self-identified research partici",305067532,,Dissertations & Theses," Kumsa, Martha Boroo
Kumsa
Boroo
Martha
Kumsa, Martha Boroo", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 813769681 , 19263021 , 66569 , 9780612945234 , 0612945235 , NQ94523 , NQ94523", Dissertation/Thesis,2004," 9780612945234 , 0612945235", English, English,,2004,ProQuest Dissertations and Theses,2004,https://search.proquest.com/docview/305067532?accountid=14496," 0452 Social work , 0631 Minority & ethnic groups , 0631 Sociology"," 0452 Social work , 0631 Minority & ethnic groups , 0631 Sociology"," 0452 Social work , 0631 Minority & ethnic groups , 0631 Sociology",," 0452 Social work , 0631 Minority & ethnic groups , 0631 Sociology"," Social work , Minority & ethnic groups , Sociology"," Social sciences , Cohesion , Glocalizing , Identity , Ontario , Oromos , Refugees , Toronto",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Sieves+and+reeds%3A++Identity%2C+,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
